Estación|Nombre estación|Red|Nombre red|Canales|Instrumentos|Región|Provincia|Comuna|Inicio registros|Término registros|Latitud|Longitud|Datum|Elevación
A04P|014 Reten Codpa|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Arica y Parinacota|Arica|Camarones|2012-02-08|2599-12-31|-18.833693|-69.744431|WGS84|1902.0
A06P|013 3ra Comisaria Arica|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Arica y Parinacota|Arica|Arica|2017-05-19|2599-12-31|-18.469727|-70.293434|WGS84|76.0
A13P|011 Reten San Miguel de Azapa|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Arica y Parinacota|Arica|Arica|2006-01-01|2599-12-31|-18.51874|-70.17931|WGS84|251.0
A14P|001 Aeropuerto Chacaluuta|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Arica y Parinacota|Arica|Arica|2016-09-22|2599-12-31|-18.35109|-70.33592|WGS84|45.0
A16P|012 Tenencia Carretera Arica (Cuya)|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Arica y Parinacota|Arica|Camarones|2016-02-12|2599-12-31|-19.160055|-70.179672|WGS84|127.0
A17P|015 Salar de Surire|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Arica y Parinacota|Parinacota|Putre|2012-05-07|2599-12-31|-18.853455|-69.143036|WGS84|4323.0
A20P|010 Planta Quiborax|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Arica y Parinacota|Arica|Arica|2016-01-20|2599-12-31|-18.448128|-69.880974|WGS84|1706.0
A28C|100 Subcomisaria Tierra Amarilla|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Atacama|Copiapó|Tierra Amarilla|2016-03-07|2599-12-31|-27.466421|-70.265381|WGS84|518.0
A29C|101 ENAMI Paipote|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Atacama|Copiapó|Copiapó|2016-03-07|2599-12-31|-27.421762|-70.259689|WGS84|488.0
A30C|102 Subcomisaria Caldera|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Atacama|Copiapó|Caldera|2016-04-16|2599-12-31|-27.06987|-70.82042|WGS84|41.0
KMI|185 SERVIU Rancagua|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Libertador General Bernardo O'Higgins|Cachapoal|Rancagua|2011-12-28|2599-12-31|-34.166553|-70.737251|WGS84|522.0
B02I|225 4ta Comisaria Hualpen|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Biobío|Concepción|Hualpén|2006-01-01|2599-12-31|-36.782768|-73.102036|WGS84|26.0
KMI|220 3ra Comisaria Lota|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Biobío|Concepción|Lota|2012-01-26|2599-12-31|-37.088394|-73.16033|WGS84|70.0
B09I|234 Tenencia Antuco|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Biobío|Biobío|Antuco|2012-01-27|2599-12-31|-37.329216|-71.659576|WGS84|585.0
KMI|194 Hospital de Santa Cruz|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Libertador General Bernardo O'Higgins|Colchagua|Santa Cruz|2014-04-22|2599-12-31|-34.633869|-71.357529|WGS84|190.0
B16I|228 Reten San Ignacio|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Ñuble|Diguillín|San Ignacio|2012-01-27|2599-12-31|-36.801743|-72.028976|WGS84|251.0
C01O|131 6ta Comisaria Las Companias|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Coquimbo|Elqui|La Serena|2016-01-08|2599-12-31|-29.876982|-71.2379|WGS84|113.0
C03O|119 5ta Comisaria Vicuna|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Coquimbo|Elqui|Vicuña|2015-11-07|2599-12-31|-30.037054|-70.71035|WGS84|649.0
C05O|128 Tenencia Punitaqui|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Coquimbo|Limarí|Punitaqui|2018-02-06|2599-12-31|-30.8331|-71.2577|WGS84|215.0
C06O|106 Aeropuerto La Florida|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Coquimbo|Elqui|La Serena|2015-10-03|2599-12-31|-29.917912|-71.200897|WGS84|180.0
C07O|112 4ta Comisaria Illapel|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Coquimbo|Choapa|Illapel|2015-09-29|2599-12-31|-31.633595|-71.167526|WGS84|341.0
C08O|127 Pueblo de Artesanos de Combarbala|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Coquimbo|Limarí|Combarbalá|2016-04-04|2599-12-31|-31.187204|-71.000839|WGS84|953.0
C09O|116 Reten La Higuera|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Coquimbo|Elqui|La Higuera|2015-10-03|2599-12-31|-29.510559|-71.200157|WGS84|610.0
C10O|121 Tenencia Andacollo|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Coquimbo|Elqui|Andacollo|2014-05-21|2599-12-31|-30.233898|-71.081604|WGS84|1084.0
C11O|130 Subcomisaria Monte Patria|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Coquimbo|Limarí|Monte Patria|2015-09-30|2599-12-31|-30.6964|-70.958916|WGS84|451.0
C12O|125 Municipalidad de Canela|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Coquimbo|Choapa|Canela|2015-09-29|2599-12-31|-31.398216|-71.45842|WGS84|301.0
C13O|126 Tenencia Carretera Limari|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Coquimbo|Limarí|Ovalle|2015-12-22|2599-12-31|-30.579296|-71.49456|WGS84|242.0
C14O|118 Centro Deportivo Municipal Pisco Elqui|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Coquimbo|Elqui|Paiguano|2014-05-24|2599-12-31|-30.123091|-70.490608|WGS84|1261.0
C15O|115 Posta de Salud Rural El Trapiche|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Coquimbo|Elqui|La Higuera|2015-06-17|2599-12-31|-29.373028|-71.114906|WGS84|313.0
C16O|103 Escuela Caleta San Pedro|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Coquimbo|Elqui|La Serena|2015-12-23|2599-12-31|-29.879189|-71.271408|WGS84|37.0
C17O|104 Regimiento de Infanteria No 21|C1|CSN|HNE;HNN;HNZ|Episensor, DC to >200 Hz,  5V differential full sc|Coquimbo|Elqui|La Serena|2018-03-09|2599-12-31|-29.904385|-71.237915|WGS84|125.0
